year,relative_yield,density
2012,0.17268170426065163,0.13792761226934905
2012,0.1799498746867168,0.14264551285295196
2012,0.18721804511278195,0.14748338276846928
2012,0.1944862155388471,0.1524425853126883
2012,0.2017543859649123,0.15752442674443515
2012,0.20902255639097744,0.16273015249845563
2012,0.2162907268170426,0.16806094332809962
2012,0.22355889724310776,0.17351791138080425
2012,0.23082706766917294,0.17910209621075532
2012,0.23809523809523808,0.18481446073349778
2012,0.24536340852130326,0.1906558871276633
2012,0.25263157894736843,0.1966271726893894
2012,0.2598997493734336,0.20272902564541376
2012,0.2671679197994987,0.2089620609312427
2012,0.2744360902255639,0.21532679594120835
2012,0.28170426065162907,0.22182364625764778
2012,0.2889724310776942,0.22845292136685444
2012,0.2962406015037594,0.23521482036986832
2012,0.30350877192982456,0.24210942769657962
2012,0.3107769423558897,0.24913670883203295
2012,0.3180451127819549,0.25629650606420984
2012,0.32531328320802,0.2635885342629615
2012,0.3325814536340852,0.27101237670014233
2012,0.3398496240601504,0.2785674809213519
2012,0.3471177944862155,0.2862531546800532
2012,0.3543859649122807,0.2940685619451558
2012,0.3616541353383459,0.30201271899347165
2012,0.368922305764411,0.31008449059873777
2012,0.3761904761904762,0.3182825863291698
2012,0.3834586466165414,0.3266055569657449
2012,0.3907268170426065,0.3350517910536343
2012,0.3979949874686717,0.34361951159937776
2012,0.40526315789473677,0.3523067729265496
2012,0.41253132832080197,0.3611114577027809
2012,0.4197994987468672,0.37003127415107817
2012,0.42706766917293226,0.3790637534584271
2012,0.43433583959899746,0.3882062473946684
2012,0.44160401002506267,0.39745592615459524
2012,0.44887218045112776,0.4068097764361403
2012,0.45614035087719296,0.41626459976739577
2012,0.46340852130325816,0.42581701109503406
2012,0.47067669172932325,0.43546343764648615
2012,0.47794486215538845,0.44520011807796167
2012,0.48521303258145365,0.4550231019200853
2012,0.49248120300751874,0.46492824933255733
2012,0.49974937343358394,0.47491123117883843
2012,0.5070175438596491,0.48496752943138793
2012,0.5142857142857142,0.49509243791747987
2012,0.5215538847117794,0.5052810634150556
2012,0.5288220551378446,0.5155283271074539
2012,0.5360902255639097,0.5258289664052108
2012,0.5433583959899749,0.5361775371423995
2012,0.55062656641604,0.5465684161542305
2012,0.5578947368421052,0.5569958042418308
2012,0.5651629072681704,0.5674537295292702
